"","ASV","Count","rel_abun","Family","Host","Total","Core"
"A. koa.104","ASV1877",111,0.0556887849810859,NA,"A. koa",189080,"Yes"
"A. koa.105","ASV1881",196,0.0983333500566922,NA,"A. koa",189080,"No"
"A. koa.106","ASV1895",211,0.105858861540623,NA,"A. koa",189080,"Yes"
"A. koa.107","ASV1901",28,0.0140476214366703,NA,"A. koa",189080,"No"
"A. koa.108","ASV1912",31,0.0155527237334564,NA,"A. koa",189080,"No"
"A. koa.109","ASV1926",300,0.15051022967861,NA,"A. koa",189080,"No"
"A. koa.110","ASV1941",1893,0.949719549272032,NA,"A. koa",189080,"Yes"
"A. koa.111","ASV1946",3353,1.68220266704127,NA,"A. koa",189080,"Yes"
"A. koa.112","ASV1948",9491,4.76164196626564,NA,"A. koa",189080,"Yes"
"A. koa.113","ASV1953",2566,1.28736416451772,NA,"A. koa",189080,"Yes"
"A. koa.114","ASV2049",336,0.168571457240044,NA,"A. koa",189080,"Yes"
"A. koa.115","ASV2053",180,0.0903061378071663,NA,"A. koa",189080,"No"
"A. koa.116","ASV2054",7130,3.57712645869498,NA,"A. koa",189080,"Yes"
"A. koa.117","ASV2055",255,0.127933695226819,NA,"A. koa",189080,"Yes"
"A. koa.118","ASV2058",62,0.0311054474669128,NA,"A. koa",189080,"No"
"A. koa.119","ASV2063",1802,0.904064779602854,NA,"A. koa",189080,"Yes"
"A. koa.120","ASV2072",638,0.320085088449845,NA,"A. koa",189080,"Yes"
"A. koa.121","ASV208",467,0.234294257533037,NA,"A. koa",189080,"Yes"
"A. koa.122","ASV215",20,0.0100340153119074,NA,"A. koa",189080,"Yes"
"A. koa.123","ASV223",7,0.00351190535916758,NA,"A. koa",189080,"No"
"A. koa.124","ASV224",11,0.00551870842154905,NA,"A. koa",189080,"No"
"A. koa.125","ASV229",17,0.00852891301512126,NA,"A. koa",189080,"No"
"A. koa.126","ASV232",51,0.0255867390453638,NA,"A. koa",189080,"Yes"
"A. koa.127","ASV257",30,0.015051022967861,NA,"A. koa",189080,"Yes"
"A. koa.128","ASV368",2190,1.09872467665386,NA,"A. koa",189080,"Yes"
"A. koa.129","ASV37",1813,0.909583488024403,NA,"A. koa",189080,"Yes"
"A. koa.130","ASV372",430,0.215731329206008,NA,"A. koa",189080,"Yes"
