"","ASV","Count","rel_abun","Family","Host","Total","In Both Habitats"
"M. polymorpha.45","ASV459",2,0.0017807694704882,"Glomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.46","ASV501",7,0.00623269314670869,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.47","ASV539",177,0.157598098138206,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.48","ASV608",2,0.0017807694704882,"Glomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.49","ASV618",10,0.00890384735244099,"Archaeosporaceae","M. polymorpha",1040,"No"
"M. polymorpha.50","ASV644",2,0.0017807694704882,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.51","ASV716",9,0.00801346261719689,"Ambisporaceae","M. polymorpha",1040,"No"
"M. polymorpha.52","ASV742",2,0.0017807694704882,"Ambisporaceae","M. polymorpha",1040,"No"
"M. polymorpha.53","ASV778",2,0.0017807694704882,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.54","ASV780",6,0.00534230841146459,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.55","ASV785",4,0.0035615389409764,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.56","ASV791",24,0.0213692336458584,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.57","ASV824",3,0.0026711542057323,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.58","ASV867",11,0.00979423208768509,"Paraglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.59","ASV926",5,0.00445192367622049,"Claroideoglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.60","ASV961",5,0.00445192367622049,"Claroideoglomeraceae","M. polymorpha",1040,"No"
"M. polymorpha.61","ASV982",12,0.0106846168229292,"Archaeosporaceae","M. polymorpha",1040,"No"
"M. lessertiana.1","ASV1013",2,0.00204390303723991,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.2","ASV1022",4,0.00408780607447983,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.3","ASV1023",1,0.00102195151861996,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.4","ASV1025",8,0.00817561214895965,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.5","ASV1032",5,0.00510975759309978,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.6","ASV1036",12,0.0122634182234395,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.7","ASV1048",21,0.0214609818910191,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.8","ASV1067",27,0.0275926910027388,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.9","ASV1078",76,0.0776683154151167,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.10","ASV1080",83,0.0848219760454564,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.11","ASV1083",4,0.00408780607447983,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.12","ASV1090",8,0.00817561214895965,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.13","ASV1092",38,0.0388341577075584,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.14","ASV11",34,0.0347463516330785,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.15","ASV1111",61,0.0623390426358174,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.16","ASV1127",45,0.045987818337898,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.17","ASV1129",23,0.023504884928259,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.18","ASV1130",21,0.0214609818910191,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.19","ASV1155",11,0.0112414667048195,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.20","ASV1169",37,0.0378122061889384,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.21","ASV1175",44,0.0449658668192781,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.22","ASV1176",12,0.0122634182234395,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.23","ASV1197",4,0.00408780607447983,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.24","ASV1224",5,0.00510975759309978,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.25","ASV1227",2,0.00204390303723991,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.26","ASV1236",22,0.022482933409639,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.27","ASV1252",64,0.0654048971916772,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.28","ASV1256",13,0.0132853697420594,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.29","ASV1258",22,0.022482933409639,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.30","ASV1261",19,0.0194170788537792,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.31","ASV1262",7,0.0071536606303397,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.32","ASV1268",8,0.00817561214895965,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.33","ASV1277",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.34","ASV1284",11,0.0112414667048195,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.35","ASV1293",10,0.0102195151861996,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.36","ASV1301",9,0.00919756366757961,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.37","ASV1304",21,0.0214609818910191,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.38","ASV131",4,0.00408780607447983,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.39","ASV1319",10,0.0102195151861996,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.40","ASV1323",19,0.0194170788537792,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.41","ASV1324",12,0.0122634182234395,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.42","ASV1326",14,0.0143073212606794,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.43","ASV1329",62,0.0633609941544373,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.44","ASV1333",62,0.0633609941544373,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.45","ASV1337",34,0.0347463516330785,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.46","ASV1339",26,0.0265707394841189,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.47","ASV134",25,0.0255487879654989,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.48","ASV1345",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.49","ASV1355",12,0.0122634182234395,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.50","ASV1361",31,0.0316804970772187,"Glomeraceae","M. lessertiana",7332,"Yes"
"M. lessertiana.51","ASV1366",29,0.0296365940399787,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.52","ASV1367",7,0.0071536606303397,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.53","ASV1368",12,0.0122634182234395,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.54","ASV1369",8,0.00817561214895965,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.55","ASV1371",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.56","ASV1374",9,0.00919756366757961,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.57","ASV1377",106,0.108326860973715,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.58","ASV1389",36,0.0367902546703184,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.59","ASV1392",14,0.0143073212606794,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.60","ASV1393",22,0.022482933409639,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.61","ASV1404",59,0.0602951395985774,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.62","ASV1418",28,0.0286146425213588,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.63","ASV1430",53,0.0541634304868577,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.64","ASV1435",31,0.0316804970772187,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.65","ASV1447",30,0.0306585455585987,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.66","ASV1456",16,0.0163512242979193,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.67","ASV1458",6,0.00613170911171974,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.68","ASV1468",32,0.0327024485958386,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.69","ASV1473",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.70","ASV1488",26,0.0265707394841189,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.71","ASV1507",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.72","ASV1518",6,0.00613170911171974,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.73","ASV1535",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.74","ASV154",41,0.0419000122634182,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.75","ASV1548",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.76","ASV1553",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.77","ASV1557",3,0.00306585455585987,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.78","ASV1567",6,0.00613170911171974,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.79","ASV1574",3,0.00306585455585987,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.80","ASV1578",15,0.0153292727792994,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.81","ASV1579",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.82","ASV1589",21,0.0214609818910191,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.83","ASV1593",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.84","ASV1619",19,0.0194170788537792,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.85","ASV1621",31,0.0316804970772187,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.86","ASV1627",21,0.0214609818910191,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.87","ASV1642",5,0.00510975759309978,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.88","ASV1643",13,0.0132853697420594,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.89","ASV1647",6,0.00613170911171974,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.90","ASV1660",12,0.0122634182234395,"Acaulosporaceae","M. lessertiana",7332,"Yes"
"M. lessertiana.91","ASV1662",24,0.024526836446879,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.92","ASV1673",3,0.00306585455585987,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.93","ASV1710",6,0.00613170911171974,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.94","ASV1722",15,0.0153292727792994,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.95","ASV1729",41,0.0419000122634182,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.96","ASV174",2,0.00204390303723991,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.97","ASV1748",17,0.0173731758165393,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.98","ASV176",14,0.0143073212606794,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.99","ASV1763",12,0.0122634182234395,"Gigasporaceae","M. lessertiana",7332,"No"
"M. lessertiana.100","ASV1765",18,0.0183951273351592,"Gigasporaceae","M. lessertiana",7332,"No"
"M. lessertiana.101","ASV1772",58,0.0592731880799575,"Gigasporaceae","M. lessertiana",7332,"No"
"M. lessertiana.102","ASV1773",26,0.0265707394841189,"Gigasporaceae","M. lessertiana",7332,"No"
"M. lessertiana.103","ASV1776",11,0.0112414667048195,"Gigasporaceae","M. lessertiana",7332,"No"
"M. lessertiana.104","ASV1807",40,0.0408780607447983,"Diversisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.105","ASV181",9,0.00919756366757961,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.106","ASV1822",12,0.0122634182234395,"Diversisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.107","ASV183",3,0.00306585455585987,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.108","ASV1845",21,0.0214609818910191,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.109","ASV1858",26,0.0265707394841189,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.110","ASV1865",85,0.0868658790826963,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.111","ASV1867",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.112","ASV1905",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.113","ASV193",9,0.00919756366757961,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.114","ASV1931",8,0.00817561214895965,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.115","ASV1938",13,0.0132853697420594,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.116","ASV1943",8,0.00817561214895965,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.117","ASV195",7,0.0071536606303397,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.118","ASV1966",13,0.0132853697420594,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.119","ASV1967",15,0.0153292727792994,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.120","ASV1968",27,0.0275926910027388,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.121","ASV20",8,0.00817561214895965,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.122","ASV22",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.123","ASV23",4,0.00408780607447983,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.124","ASV26",205,0.209500061317091,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.125","ASV268",5,0.00510975759309978,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.126","ASV286",1,0.00102195151861996,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.127","ASV287",24,0.024526836446879,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.128","ASV299",8,0.00817561214895965,"Gigasporaceae","M. lessertiana",7332,"No"
"M. lessertiana.129","ASV304",3,0.00306585455585987,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.130","ASV307",10,0.0102195151861996,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.131","ASV328",1,0.00102195151861996,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.132","ASV334",25,0.0255487879654989,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.133","ASV344",160,0.163512242979193,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.134","ASV354",27,0.0275926910027388,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.135","ASV357",74,0.0756244123778768,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.136","ASV358",73,0.0746024608592568,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.137","ASV368",124,0.126721988308875,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.138","ASV369",165,0.168622000572293,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.139","ASV37",181,0.184973224870212,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.140","ASV377",17,0.0173731758165393,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.141","ASV38",42,0.0429219637820382,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.142","ASV380",39,0.0398561092261783,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.143","ASV390",5,0.00510975759309978,"Acaulosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.144","ASV403",4,0.00408780607447983,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.145","ASV44",4,0.00408780607447983,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.146","ASV442",5,0.00510975759309978,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.147","ASV446",39,0.0398561092261783,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.148","ASV450",32,0.0327024485958386,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.149","ASV462",9,0.00919756366757961,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.150","ASV467",6,0.00613170911171974,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.151","ASV479",1300,1.32853697420594,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.152","ASV48",2,0.00204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.153","ASV483",91,0.0929975881944161,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.154","ASV486",385,0.393451334668683,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.155","ASV487",624,0.637697747618853,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.156","ASV488",7,0.0071536606303397,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.157","ASV495",37,0.0378122061889384,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.158","ASV496",41,0.0419000122634182,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.159","ASV500",3,0.00306585455585987,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.160","ASV503",34,0.0347463516330785,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.161","ASV505",37,0.0378122061889384,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.162","ASV506",5,0.00510975759309978,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.163","ASV507",23,0.023504884928259,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.164","ASV510",8,0.00817561214895965,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.165","ASV511",19,0.0194170788537792,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.166","ASV559",10,0.0102195151861996,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.167","ASV566",11,0.0112414667048195,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.168","ASV574",24,0.024526836446879,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.169","ASV575",10,0.0102195151861996,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.170","ASV585",3,0.00306585455585987,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.171","ASV599",3,0.00306585455585987,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.172","ASV604",20,0.0204390303723991,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.173","ASV610",14,0.0143073212606794,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.174","ASV613",12,0.0122634182234395,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.175","ASV641",10,0.0102195151861996,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.176","ASV649",6,0.00613170911171974,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.177","ASV654",13,0.0132853697420594,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.178","ASV657",16,0.0163512242979193,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.179","ASV675",17,0.0173731758165393,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.180","ASV683",5,0.00510975759309978,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.181","ASV688",57,0.0582512365613375,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.182","ASV691",9,0.00919756366757961,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.183","ASV695",21,0.0214609818910191,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.184","ASV72",7,0.0071536606303397,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.185","ASV721",57,0.0582512365613375,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.186","ASV745",7,0.0071536606303397,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.187","ASV751",13,0.0132853697420594,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.188","ASV758",2,0.00204390303723991,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.189","ASV763",7,0.0071536606303397,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.190","ASV775",74,0.0756244123778768,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.191","ASV776",88,0.0899317336385562,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.192","ASV781",36,0.0367902546703184,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.193","ASV782",4,0.00408780607447983,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.194","ASV786",17,0.0173731758165393,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.195","ASV787",15,0.0153292727792994,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.196","ASV799",16,0.0163512242979193,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.197","ASV80",17,0.0173731758165393,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.198","ASV816",10,0.0102195151861996,"Ambisporaceae","M. lessertiana",7332,"No"
"M. lessertiana.199","ASV818",9,0.00919756366757961,"Glomeromycotina","M. lessertiana",7332,"No"
"M. lessertiana.200","ASV865",10,0.0102195151861996,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.201","ASV873",7,0.0071536606303397,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.202","ASV877",29,0.0296365940399787,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.203","ASV883",21,0.0214609818910191,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.204","ASV887",13,0.0132853697420594,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.205","ASV888",51,0.0521195274496178,"Paraglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.206","ASV893",8,0.00817561214895965,"Archaeosporaceae","M. lessertiana",7332,"No"
"M. lessertiana.207","ASV9",3,0.00306585455585987,"Glomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.208","ASV901",6,0.00613170911171974,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.209","ASV916",19,0.0194170788537792,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.210","ASV929",37,0.0378122061889384,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.211","ASV932",32,0.0327024485958386,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.212","ASV959",2,0.00204390303723991,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.213","ASV960",9,0.00919756366757961,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.214","ASV969",30,0.0306585455585987,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.215","ASV970",25,0.0255487879654989,"Claroideoglomeraceae","M. lessertiana",7332,"No"
"M. lessertiana.216","ASV981",56,0.0572292850427176,"Archaeosporaceae","M. lessertiana",7332,"No"
"R. hawaiensis.1","ASV1021",13,0.00614195474796725,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.2","ASV1066",45,0.0212606125891174,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.3","ASV1073",187,0.0883496567592212,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.4","ASV1082",9,0.00425212251782348,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.5","ASV1143",33,0.0155911158986861,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.6","ASV1162",11,0.00519703863289536,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.7","ASV1183",19,0.0089767030931829,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.8","ASV119",49,0.0231504448192612,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.9","ASV121",9,0.00425212251782348,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.10","ASV1220",12,0.00566949669043131,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.11","ASV1246",12,0.00566949669043131,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.12","ASV1248",10,0.00472458057535942,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.13","ASV1399",3,0.00141737417260783,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.14","ASV1416",30,0.0141737417260783,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.15","ASV1480",30,0.0141737417260783,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.16","ASV1485",30,0.0141737417260783,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.17","ASV1492",21,0.00992161920825479,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.18","ASV15",6,0.00283474834521565,"Paraglomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.19","ASV1504",13,0.00614195474796725,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.20","ASV1506",3,0.00141737417260783,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.21","ASV1529",6,0.00283474834521565,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.22","ASV1581",4,0.00188983223014377,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.23","ASV1582",2,0.000944916115071884,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.24","ASV1689",6,0.00283474834521565,"Acaulosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.25","ASV1695",2,0.000944916115071884,"Acaulosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.26","ASV1826",2,0.000944916115071884,"Acaulosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.27","ASV184",10,0.00472458057535942,"Archaeosporaceae","R. hawaiensis",1306,"No"
"R. hawaiensis.28","ASV1848",42,0.0198432384165096,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.29","ASV1850",205,0.0968539017948682,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.30","ASV1885",9,0.00425212251782348,"Glomeraceae","R. hawaiensis",1306,"No"
"R. hawaiensis.31","ASV1891",2,0.000944916115071884,"Glomeraceae","R. hawaiensis",1306,"No"
