"","ASV","Count","rel_abun","Family","Host","Total"
"M. polymorpha.11","ASV1228",65,0.0431031624458724,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.12","ASV1233",49,0.0324931532284269,"Archaeosporaceae_core","M. polymorpha",140231
"M. polymorpha.13","ASV1240",178,0.118036352544081,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.14","ASV1250",19,0.0125993859457165,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.15","ASV1256",8,0.00530500460872275,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.16","ASV1259",65,0.0431031624458724,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.17","ASV1268",101,0.0669756831851248,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.18","ASV1271",325,0.215515812229362,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.19","ASV1272",377,0.24999834218606,"Archaeosporaceae","M. polymorpha",140231
"M. polymorpha.20","ASV1400",761,0.504638563404752,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.21","ASV1428",7927,5.25659644166816,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.22","ASV1460",1600,1.06100092174455,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.23","ASV1468",3277,2.17306251284806,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.24","ASV1476",1619,1.07360030769027,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.25","ASV1514",44619,29.5880000795751,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.26","ASV1534",269,0.178380779968303,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.27","ASV1539",190,0.125993859457165,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.28","ASV1542",170,0.112731347935359,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.29","ASV1550",890,0.590181762720406,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.30","ASV1571",986,0.653841818025079,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.31","ASV1688",1019,0.675724962036061,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.32","ASV1689",899,0.596149892905219,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.33","ASV1691",2512,1.66577144713894,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.34","ASV1700",1987,1.31763051969151,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.35","ASV1815",6,0.00397875345654207,"Acaulosporaceae_core","M. polymorpha",140231
"M. polymorpha.36","ASV1871",246,0.163128891718225,"Gigasporaceae_core","M. polymorpha",140231
"M. polymorpha.37","ASV1941",6066,4.02251974456403,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.38","ASV1946",5367,3.55899496687688,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.39","ASV1948",11664,7.73469671951777,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.40","ASV1953",6885,4.56561959138202,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.41","ASV201",4,0.00265250230436138,"Glomeromycotina","M. polymorpha",140231
"M. polymorpha.42","ASV2054",11924,7.90710936930126,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.43","ASV2055",1535,1.01789775929868,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.44","ASV2063",9672,6.41375057194581,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.45","ASV2072",2934,1.94561044024907,"Glomeraceae_core","M. polymorpha",140231
"M. polymorpha.46","ASV208",24,0.0159150138261683,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.47","ASV232",71,0.0470819159024144,"Glomeraceae","M. polymorpha",140231
"M. polymorpha.48","ASV368",1431,0.948932699385283,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.49","ASV37",289,0.191643291490109,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.50","ASV372",241,0.159813263837773,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.51","ASV378",386,0.255966472370873,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.52","ASV383",429,0.284480872142758,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.53","ASV392",1888,1.25198108765857,"Glomeromycotina_core","M. polymorpha",140231
"M. polymorpha.54","ASV736",149,0.0988057108374613,"Ambisporaceae_core","M. polymorpha",140231
"M. polymorpha.55","ASV926",1360,0.901850783482868,"Paraglomeraceae_core","M. polymorpha",140231
"M. polymorpha.56","ASV979",482,0.319626527675546,"Claroideoglomeraceae_core","M. polymorpha",140231
"M. lessertiana.1","ASV1007",1241,1.2063769806552,"Claroideoglomeraceae_core","M. lessertiana",87150
"M. lessertiana.2","ASV1038",461,0.448138427141052,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.3","ASV1135",2454,2.38553514144065,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.4","ASV1155",54,0.05249343832021,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.5","ASV1175",199,0.19344804121707,"Archaeosporaceae","M. lessertiana",87150
